yeah yeah;yeah
there should be a pink box on a table or something;there should be a pink box on a table
but I think they'll - they'll give us directions for that later;they'll give us directions for that later
Can - and then - then you can kind of sort of veer to the right or left;you can veer to the right or left
but now I have one more block and no pink box so;I have one more block and no pink box
and then if you look to your left there - go into that room;and then if you go into that room
at a table there's a blue box there ;at a table there's a blue box
and turn - turn right;turn right
yes okay;yes
this will be like - this is a long hallway sort of thing you're going to be going through;this is a long hallway you're going to be going through
I don't - maybe it's not maybe that's not a box I don't know what that is;that's not a box
just - just - can you - can you hold on a second, Brandy?;can you hold on a second, Brandy?
there's box number one green box number one in here;there's green box number one in here
yeah I did;I did
to begin with and then there's box green box number three on this chair;there's green box number three on this chair
okay okay;okay
oh yes;yes
maybe go back and check;go back and check
there's like - it's another long hall;it's another long hall
let me get this stuff out of the box;let me get this out of the box
sorry pink box on table;pink box on table
looks like there's a table or something;there's a table
I think that's right;that's right
and keep your eye - er k- l- keep a look out for bo- uh green box number six;keep a look out for green box number six
they're - they're giving me instructions;they're giving me instructions
there's just one behind the door;there's one behind the door
it was like on the way to the cardboard box;it was on the way to the cardboard box
i- if that's not a box then turn right;if that's not a box then turn right
so there also - there should be a table there;there should be a table there
no no;no
and there's a blue box here;there's a blue box here
and it's like winding;and it's winding
but there is - the pink box is in that hallway so I could go back there;the pink box is in that hallway so I could go back there
now I'm out of yellow blocks so;I'm out of yellow blocks
what - what you're going to have to do is put;what you're going to have to do is put
oh oh there there it worked;there it worked
yes there is;there is
get that;get that
